expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
現像,げんぞう,developing (film),JLPT_1 JLPT,v9bha+<cj},"กำลังพัฒนา (ฟิล์ม), ล้างฟิล์ม, อัดรูป, ทำรูป",写真の現像を待っています。,กำลังรออัดรูปถ่าย
原則,げんそく,"principle, general rule",JLPT_1 JLPT,dVC[`t${#`,"หลักการ, กฎทั่วไป, ข้อกำหนด, บรรทัดฐาน",原則として、会議は月曜日です。,ตามหลักการแล้ว การประชุมจะจัดขึ้นในวันจันทร์
見地,けんち,point of view,JLPT_1 JLPT,wk)a!>hpi:,"มุมมอง, ทัศนคติ, แง่มุม, จุดยืน",これは新しい見地からの提案です。,นี่คือข้อเสนอจากมุมมองใหม่
現地,げんち,"actual place, local",JLPT_1 JLPT,G$>SwAUY5:,"สถานที่จริง, ท้องถิ่น, พื้นที่, ภูมิภาค",現地の人々と話しました。,ได้พูดคุยกับผู้คนในท้องถิ่น
限定,げんてい,"limit, restriction",JLPT_1 JLPT,o%F/8(![P3,"ขีดจำกัด, ข้อจำกัด, ข้อผูกมัด, การจำกัด",このセールは明日まで限定です。,โปรโมชั่นนี้มีจำกัดถึงแค่วันพรุ่งนี้
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,bXdt~Sz`DP,"จุดกำเนิด (พิกัด จุดเริ่มต้น), จุดเริ่มต้น, แหล่งกำเนิด, รากฐาน",グラフの原点を説明します。,จะอธิบายจุดกำเนิดของกราฟ
原典,げんてん,"original, source",JLPT_1 JLPT,EB`MVeV|+3,"ต้นฉบับ, แหล่งที่มา, ฉบับจริง, แหล่งข้อมูล",原典を読みました。,ได้อ่านต้นฉบับแล้ว
原爆,げんばく,atomic bomb,JLPT_1 JLPT,qVu!~xa[nC,"ระเบิดปรมาณู, ลูกระเบิดปรมาณู, อาวุธนิวเคลียร์, ระเบิดนิวเคลียร์",原爆の恐ろしさを学びました。,ได้เรียนรู้ถึงความน่ากลัวของระเบิดปรมาณู
原文,げんぶん,"the text, original",JLPT_1 JLPT,w>egRzs&//,"ข้อความต้นฉบับ, ต้นฉบับ, เอกสารต้นฉบับ, บทประพันธ์ต้นฉบับ",原文を日本語に翻訳します。,จะแปลข้อความต้นฉบับเป็นภาษาญี่ปุ่น
厳密,げんみつ,"strict, close",JLPT_1 JLPT,k<}V}HBo:Y,"เข้มงวด ปิดสนิท, เคร่งครัด, ละเอียดถี่ถ้วน, เป๊ะ",厳密な調査が必要です。,จำเป็นต้องมีการตรวจสอบอย่างละเอียดถี่ถ้วน
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,rF6VPIq@Kt,"ปัญญา ความฉลาด ความรอบคอบ, สติปัญญา, ความหลักแหลม, ความสุขุม",賢明な判断でした。,เป็นการตัดสินใจที่ฉลาดหลักแหลม
